cars,665,480,85,45,img8.jpg,1280,720
cars,619,463,106,41,img8.jpg,1280,720
cars,606,441,99,38,img8.jpg,1280,720
cars,597,366,66,23,img8.jpg,1280,720
cars,585,375,85,30,img8.jpg,1280,720
cars,604,388,74,33,img8.jpg,1280,720
cars,607,411,81,36,img8.jpg,1280,720
cars,342,642,154,65,img8.jpg,1280,720
cars,356,571,134,56,img8.jpg,1280,720
cars,374,526,121,51,img8.jpg,1280,720
cars,393,488,84,50,img8.jpg,1280,720
cars,471,325,45,20,img8.jpg,1280,720
cars,444,357,68,24,img8.jpg,1280,720
cars,441,375,71,25,img8.jpg,1280,720
cars,440,389,68,26,img8.jpg,1280,720
cars,435,401,73,26,img8.jpg,1280,720
cars,429,418,78,29,img8.jpg,1280,720
cars,423,436,79,35,img8.jpg,1280,720
cars,415,463,76,45,img8.jpg,1280,720
